tipo,rota,status,bytes,title,description_len,canonical,h1,og_title,og_image,twitter_card,jsonld_blocks,breadcrumb,faq,internal_links,images,data_prerendered
home,/,200,11703,"Carplus Pneus e Oficina Mecânica no Portão | Centro Automotivo em Curitiba",184,"https://www.carpluspneuseoficina.com.br/","","Carplus Centro Automotivo – Loja de Pneus e Oficina em Curitiba","https://www.carpluspneuseoficina.com.br/og-image.jpg",summary_large_image,2,false,false,0,0,false
catalogo-pneus,/pneus,200,187965,"Catálogo de Pneus em Curitiba | Carplus Centro Automotivo – Portão",153,"https://www.carpluspneuseoficina.com.br/pneus","Catálogo de Pneus em Curitiba","Catálogo de Pneus em Curitiba | Carplus Centro Automotivo – Portão","https://www.carpluspneuseoficina.com.br/og-image.jpg",summary_large_image,17,true,true,135,30,true
servicos,/servicos,200,214787,"Serviços de Oficina e Pneus em Curitiba Portão | Carplus Centro Automotivo",135,"https://www.carpluspneuseoficina.com.br/servicos","Nossos Serviços","Serviços de Oficina e Pneus em Curitiba Portão | Carplus Centro Automotivo","https://www.carpluspneuseoficina.com.br/og-carplus.webp",summary_large_image,3,true,false,119,5,true
produto-medida,/pneu-medida/175-65r14,200,172864,"Pneu 175/65R14 em Curitiba | Carplus Centro Automotivo – Todas as Marcas",179,"https://www.carpluspneuseoficina.com.br/pneu-medida/175-65r14","Pneu 175/65R14","Pneu 175/65R14 em Curitiba | Carplus Centro Automotivo – Todas as Marcas","https://www.carpluspneuseoficina.com.br/images/pneus/pneu-17565r14-goodyear-kelly-edge-touring-2-86h-1-MKBZyypY30iYQpYcAH9h00N7PmPDek.webp",summary_large_image,5,true,true,105,34,true
institucional-quem-somos,/quem-somos,200,102028,"Quem Somos | Carplus Pneus e Oficina em Curitiba desde 2014",168,"https://www.carpluspneuseoficina.com.br/quem-somos","Quem Somos","Quem Somos | Carplus Pneus e Oficina em Curitiba desde 2014","https://www.carpluspneuseoficina.com.br/og-carplus.webp",summary_large_image,2,false,false,79,27,true
contato,/contato,200,61229,"Contato – Carplus Pneus e Oficina no Portão, Curitiba",163,"https://www.carpluspneuseoficina.com.br/contato","Entre em Contato","Contato – Carplus Pneus e Oficina no Portão, Curitiba","https://www.carpluspneuseoficina.com.br/og-carplus.webp",summary_large_image,2,false,false,78,5,true
